date,open,high,low,close,volume,p_change,v_change
2012-09-19,1459.5,1465.150024,1457.880005,1461.050049,3451360000,0.001185554,0.021901528
2012-09-20,1461.050049,1461.22998,1449.97998,1460.26001,3382520000,-0.000540734,-0.019945761
2012-09-21,1460.339966,1467.069946,1459.51001,1460.150024,4833870000,-7.53E-05,0.42907359
2012-09-24,1459.76001,1460.719971,1452.060059,1456.890015,3008920000,-0.002232653,-0.377533943
2012-09-25,1456.939941,1463.23999,1441.589966,1441.589966,3739900000,-0.010501856,0.242937665
2012-09-26,1441.599976,1441.599976,1430.530029,1433.319946,3565380000,-0.005736735,-0.046664349
2012-09-27,1433.359985,1450.199951,1433.359985,1447.150024,3150330000,0.009648982,-0.116411154
2012-09-28,1447.130005,1447.130005,1435.599976,1440.670044,3509230000,-0.004477753,0.113924573
2012-10-01,1440.900024,1457.140015,1440.900024,1444.48999,3505080000,0.002651507,-0.001182596
2012-10-02,1444.98999,1451.52002,1439.01001,1445.75,3321790000,0.000872287,-0.052292672
2012-10-03,1446.050049,1454.300049,1441.98999,1450.98999,3531640000,0.003624409,0.063173771
2012-10-04,1451.079956,1463.140015,1451.079956,1461.400024,3615860000,0.007174435,0.023847278
2012-10-05,1461.400024,1470.959961,1456.890015,1460.930054,3172940000,-0.000321589,-0.122493681
2012-10-08,1460.930054,1460.930054,1453.099976,1455.880005,2328720000,-0.003456736,-0.266068693
2012-10-09,1455.900024,1455.900024,1441.180054,1441.47998,3216320000,-0.009890942,0.381153595
2012-10-10,1441.47998,1442.52002,1430.640015,1432.560059,3225060000,-0.00618803,0.002717391
2012-10-11,1432.819946,1443.900024,1432.819946,1432.839966,3672540000,0.000195389,0.138750907
2012-10-12,1432.839966,1438.430054,1425.530029,1428.589966,3134750000,-0.002966137,-0.146435437
2012-10-15,1428.75,1441.310059,1427.23999,1440.130005,3483810000,0.008077922,0.111351782
2012-10-16,1440.310059,1455.51001,1440.310059,1454.920044,3568770000,0.010269933,0.024387093
2012-10-17,1454.219971,1462.199951,1453.349976,1460.910034,3655320000,0.004117058,0.024252053
2012-10-18,1460.939941,1464.02002,1452.630005,1457.339966,3880030000,-0.002443729,0.061474782
2012-10-19,1457.339966,1457.339966,1429.849976,1433.189941,3875170000,-0.016571305,-0.001252568
2012-10-22,1433.209961,1435.459961,1422.060059,1433.819946,3216220000,0.000439582,-0.170044153
2012-10-23,1433.73999,1433.73999,1407.560059,1413.109985,3587670000,-0.014443906,0.115492721
2012-10-24,1413.199951,1420.040039,1407.099976,1408.75,3385970000,-0.003085383,-0.056220332
2012-10-25,1409.73999,1421.119995,1405.140015,1412.969971,3512640000,0.002995543,0.037410255
2012-10-26,1412.969971,1417.089966,1403.280029,1411.939941,3284910000,-0.000728982,-0.06483158
2012-10-31,1410.98999,1418.76001,1405.949951,1412.160034,3577110000,0.00015588,0.088952209
2012-11-01,1412.199951,1428.349976,1412.199951,1427.589966,3929890000,0.010926475,0.098621513
2012-11-02,1427.589966,1434.27002,1412.910034,1414.199951,3732480000,-0.009379454,-0.050232958
2012-11-05,1414.02002,1419.900024,1408.130005,1417.26001,2921040000,0.002163809,-0.217399691
2012-11-06,1417.26001,1433.380005,1417.26001,1428.390015,3306970000,0.007853185,0.132120752
2012-11-07,1428.27002,1428.27002,1388.140015,1394.530029,4356490000,-0.023705,0.317366048
2012-11-08,1394.530029,1401.22998,1377.51001,1377.51001,3779520000,-0.012204842,-0.132439188
2012-11-09,1377.550049,1391.390015,1373.030029,1379.849976,3647350000,0.001698693,-0.034970049
2012-11-12,1379.859985,1384.869995,1377.189941,1380.030029,2567540000,0.000130487,-0.296053299
2012-11-13,1380.030029,1388.810059,1371.390015,1374.530029,3455550000,-0.003985421,0.34586024
2012-11-14,1374.640015,1380.130005,1352.5,1355.48999,4109510000,-0.013852036,0.189249179
2012-11-15,1355.410034,1360.619995,1348.050049,1353.329956,3928870000,-0.001593545,-0.043956579
2012-11-16,1353.359985,1362.030029,1343.349976,1359.880005,4045910000,0.00483995,0.029789736
2012-11-19,1359.880005,1386.890015,1359.880005,1386.890015,3374800000,0.019862054,-0.165873685
2012-11-20,1386.819946,1389.77002,1377.040039,1387.810059,3207160000,0.000663386,-0.049674055
2012-11-21,1387.790039,1391.25,1386.390015,1391.030029,2667090000,0.002320181,-0.168395091
2012-11-23,1391.030029,1409.160034,1391.030029,1409.150024,1504960000,0.013026315,-0.435729578
2012-11-26,1409.150024,1409.150024,1397.680054,1406.290039,2948960000,-0.002029582,0.95949394
2012-11-27,1406.290039,1409.01001,1398.030029,1398.939941,3323120000,-0.005226588,0.126878628
2012-11-28,1398.77002,1410.310059,1385.430054,1409.930054,3359250000,0.007856029,0.010872313
2012-11-29,1409.959961,1419.699951,1409.040039,1415.949951,3356850000,0.004269642,-0.000714445
2012-11-30,1415.949951,1418.859985,1411.630005,1416.180054,3966000000,0.000162508,0.181464766
2012-12-03,1416.339966,1423.72998,1408.459961,1409.459961,3074280000,-0.004745225,-0.22484115
2012-12-04,1409.459961,1413.140015,1403.650024,1407.050049,3247710000,-0.001709812,0.056413209
2012-12-05,1407.050049,1415.560059,1398.22998,1409.280029,4253920000,0.001584862,0.309821382
2012-12-06,1409.430054,1413.949951,1405.930054,1413.939941,3229700000,0.003306591,-0.240770865
2012-12-07,1413.949951,1420.339966,1410.900024,1418.069946,3125160000,0.00292092,-0.032368331
2012-12-10,1418.069946,1421.640015,1415.640015,1418.550049,2999430000,0.000338561,-0.04023154
2012-12-11,1418.550049,1434.27002,1418.550049,1427.839966,3650230000,0.006548882,0.216974558
2012-12-12,1427.839966,1438.589966,1426.76001,1428.47998,3709050000,0.000448239,0.016114053
2012-12-13,1428.47998,1431.359985,1416,1419.449951,3349960000,-0.006321425,-0.096814548
2012-12-14,1419.449951,1419.449951,1411.880005,1413.579956,3210170000,-0.004135401,-0.041728856
2012-12-17,1413.540039,1430.670044,1413.540039,1430.359985,3455610000,0.011870591,0.07645701
2012-12-18,1430.469971,1448,1430.469971,1446.790039,4302240000,0.011486657,0.245001606
2012-12-19,1446.790039,1447.75,1435.800049,1435.810059,3869800000,-0.007589201,-0.100515081
2012-12-20,1435.810059,1443.699951,1432.819946,1443.689941,3686580000,0.005488109,-0.047346116
2012-12-21,1443.670044,1443.670044,1422.579956,1430.150024,5229160000,-0.009378688,0.418431175
2012-12-24,1430.150024,1430.150024,1424.660034,1426.660034,1248960000,-0.002440296,-0.761154755
2012-12-26,1426.660034,1429.420044,1416.430054,1419.829956,2285030000,-0.00478746,0.829546182
2012-12-27,1419.829956,1422.800049,1401.800049,1418.099976,2830180000,-0.001218442,0.238574548
2012-12-28,1418.099976,1418.099976,1401.579956,1402.430054,2426680000,-0.011049942,-0.142570437
2012-12-31,1402.430054,1426.73999,1398.109985,1426.189941,3204330000,0.016941941,0.320458404
2013-01-02,1426.189941,1462.430054,1426.189941,1462.420044,4202600000,0.025403421,0.311537825
2013-01-03,1462.420044,1465.469971,1455.530029,1459.369995,3829730000,-0.002085618,-0.088723647
2013-01-04,1459.369995,1467.939941,1458.98999,1466.469971,3424290000,0.004865097,-0.105866471
2013-01-07,1466.469971,1466.469971,1456.619995,1461.890015,3304970000,-0.003123116,-0.03484518
2013-01-08,1461.890015,1461.890015,1451.640015,1457.150024,3601600000,-0.003242372,0.089752706
2013-01-09,1457.150024,1464.72998,1457.150024,1461.02002,3674390000,0.002655867,0.020210462
2013-01-10,1461.02002,1472.300049,1461.02002,1472.119995,4081840000,0.007597415,0.110889154
2013-01-11,1472.119995,1472.75,1467.579956,1472.050049,3340650000,-4.75E-05,-0.181582326
2013-01-14,1472.050049,1472.050049,1465.689941,1470.680054,3003010000,-0.000930671,-0.101070151
2013-01-15,1470.670044,1473.310059,1463.76001,1472.339966,3135350000,0.00112867,0.044069117
2013-01-16,1472.329956,1473.959961,1467.599976,1472.630005,3384080000,0.000196992,0.079330856
2013-01-17,1472.630005,1485.160034,1472.630005,1480.939941,3706710000,0.005642922,0.095337581
2013-01-18,1480.949951,1485.97998,1475.810059,1485.97998,3795740000,0.00340327,0.024018604
2013-01-22,1485.97998,1492.560059,1481.160034,1492.560059,3570950000,0.004428107,-0.059221654
2013-01-23,1492.560059,1496.130005,1489.900024,1494.810059,3552010000,0.001507477,-0.005303911
2013-01-24,1494.810059,1502.27002,1489.459961,1494.819946,3699430000,6.61E-06,0.041503262
2013-01-25,1494.819946,1503.26001,1494.819946,1502.959961,3476290000,0.005445482,-0.0603174
2013-01-28,1502.959961,1503.22998,1496.329956,1500.180054,3388540000,-0.001849621,-0.025242428
2013-01-29,1500.180054,1509.349976,1498.089966,1507.839966,3949640000,0.005105995,0.165587539
2013-01-30,1507.839966,1509.939941,1500.109985,1501.959961,3726810000,-0.003899621,-0.0564178
2013-01-31,1501.959961,1504.189941,1496.76001,1498.109985,3999880000,-0.002563301,0.073271779
2013-02-01,1498.109985,1514.410034,1498.109985,1513.170044,3836320000,0.010052706,-0.040891227
2013-02-04,1513.170044,1513.170044,1495.02002,1495.709961,3390000000,-0.011538745,-0.11634066
2013-02-05,1495.709961,1514.959961,1495.709961,1511.290039,3618360000,0.01041651,0.067362832
2013-02-06,1511.290039,1512.530029,1504.709961,1512.119995,3611570000,0.000549171,-0.001876541
2013-02-07,1512.119995,1512.900024,1498.48999,1509.390015,3614580000,-0.001805399,0.000833433
2013-02-08,1509.390015,1518.310059,1509.390015,1517.930054,2986150000,0.005657941,-0.173859757
2013-02-11,1517.930054,1518.310059,1513.609985,1517.01001,2684100000,-0.000606118,-0.101150311
2013-02-12,1517.01001,1522.290039,1515.609985,1519.430054,3414370000,0.001595272,0.272072576
2013-02-13,1519.430054,1524.689941,1515.930054,1520.329956,3385880000,0.000592263,-0.008344145
2013-02-14,1520.329956,1523.140015,1514.02002,1521.380005,3759740000,0.000690672,0.11041738
2013-02-15,1521.380005,1524.23999,1514.140015,1519.790039,3838510000,-0.001045081,0.020950917
